dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,compression_origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,protocol_uid,threshold_policy,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1,compressed_dir_rank1_count,compressed_dir_rank1,origin_false_accept_count,origin_fpir,compressed_false_accept_count,compressed_fpir,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,retrieval_origin_fallback_count
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pca,pca_32,13195,512,32,True,reconstruction,0.00133086485505,0.00160089426015,0.975072212381,1.13184741403,0.553730552783,0.424988257011,0,128,0,not_applicable,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,468,0.983193277311,464,983,463,0.97268907563,463,0.97268907563,1,0.000592417061611,513,0.303909952607,804,0.371534195933,0.481119618068,0.166329320289,0.1746780781,519,0.239833641405,2150,0.993530499076,1638,0.756931608133,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pca,pca_64,13195,512,64,True,reconstruction,0.000953401785376,0.00124400196593,0.771127386737,0.923890830103,0.710974344898,0.602720027916,0,256,0,not_applicable,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,469,0.985294117647,464,488,463,0.97268907563,463,0.97268907563,1,0.000592417061611,25,0.0148104265403,1038,0.47966728281,0.582906959478,0.0784113458194,0.0838236325212,24,0.0110905730129,2150,0.993530499076,2126,0.982439926063,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pca,pca_128,13195,512,128,True,reconstruction,0.000426020968358,0.000633570491877,0.48043287349,0.605912227679,0.883420865736,0.821982914516,0,512,0,not_applicable,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,465,463,0.97268907563,463,0.97268907563,1,0.000592417061611,2,0.00118483412322,1486,0.686691312384,0.736719162919,0.0192529656537,0.0266954459546,1,0.000462107208872,2150,0.993530499076,2149,0.993068391867,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pca,pca_256,13195,512,256,True,reconstruction,3.65035580126e-07,6.56093726175e-07,0.0133851460962,0.0183260970266,0.99990657379,0.999832081784,0,1024,0,not_applicable,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1930,0.891866913124,0.881309576865,-0.0131123243881,0.0147323128724,0,0,2150,0.993530499076,2150,0.993530499076,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pca,pca_384,13195,512,384,True,reconstruction,2.97056436252e-08,4.92597402943e-08,0.00383048773897,0.00501496439215,0.99999242812,0.999987425092,0,1536,0,not_applicable,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1930,0.891866913124,0.881221556445,-0.0131365000141,0.0147490998981,0,0,2150,0.993530499076,2150,0.993530499076,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pq,pq_512_m8_b8,13195,512,512,True,reconstruction,0.00137271648996,0.00171086805145,0.996699031275,1.184547433,0.528387400893,0.376716316347,0,8,524288,faiss_centroids,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,400,0.840336134454,471,0.989495798319,466,0.978991596639,464,194,463,0.97268907563,190,0.399159663866,1,0.000592417061611,4,0.00236966824645,538,0.248613678373,0.345517088571,-0.0527190096408,0.128663291129,276,0.127541589649,2150,0.993530499076,1874,0.865988909427,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pq,pq_512_m16_b8,13195,512,512,True,reconstruction,0.00120653152185,0.00149934763059,0.899897938254,1.05032223444,0.611828173599,0.49729150842,0,16,524288,faiss_centroids,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,460,0.966386554622,471,0.989495798319,470,0.987394957983,464,197,463,0.97268907563,197,0.413865546218,1,0.000592417061611,0,0,677,0.312846580407,0.404215369309,-0.0910692149067,0.111305072986,267,0.123382624769,2150,0.993530499076,1885,0.871072088725,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pq,pq_512_m32_b8,13195,512,512,True,reconstruction,0.000930858241962,0.00114589183674,0.757154293727,0.865547861799,0.721966642552,0.648223043232,0,32,524288,faiss_centroids,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,463,0.97268907563,471,0.989495798319,471,0.989495798319,464,339,463,0.97268907563,338,0.710084033613,1,0.000592417061611,1,0.000592417061611,895,0.413585951941,0.497133481046,-0.0924736120516,0.100053413707,125,0.0577634011091,2150,0.993530499076,2025,0.935767097967,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pq,pq_512_m64_b8,13195,512,512,True,reconstruction,0.000542837944812,0.000659124716208,0.552998633929,0.61882061616,0.84956373933,0.814563153952,0,64,524288,faiss_centroids,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,462,0.970588235294,471,0.989495798319,472,0.991596638655,464,457,463,0.97268907563,456,0.957983193277,1,0.000592417061611,1,0.000592417061611,1209,0.558687615527,0.639379466584,-0.0660580302074,0.0710828290898,7,0.00323475046211,2150,0.993530499076,2143,0.990295748614,0
lfw,magface-6931178ad2025e1b3799,20260801-R001-250c665b,population-2452f3adbb1ed70f2b453f96,origin-embedding-dbdd656529118ab21ebd65ab,pq,pq_512_m128_b8,13195,512,512,True,reconstruction,0.000169367782879,0.000206316213565,0.2978089912,0.33059137726,0.955743544146,0.945850546418,0,128,524288,faiss_centroids,lfw-identity-disjoint-open-set-v1,frozen_origin,calibration,test,20,2164,476,1688,0.432901352644,0.432901352644,0.432901352644,464,0.974789915966,464,0.974789915966,471,0.989495798319,471,0.989495798319,464,464,463,0.97268907563,463,0.97268907563,1,0.000592417061611,1,0.000592417061611,1677,0.774953789279,0.804723811643,-0.0229768499787,0.0280551081127,0,0,2150,0.993530499076,2150,0.993530499076,0
