dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_128,463341,512,128,True,reconstruction,0.000196532163495,0.000389758300628,0.315912010782,0.463067157883,0.948007662199,0.89468662594,0,512,0,not_applicable,264192,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_256,463341,512,256,True,reconstruction,1.04799039079e-05,2.10188359058e-05,0.071211243259,0.103922371374,0.997312641011,0.994604928488,0,1024,0,not_applicable,526336,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_32,463341,512,32,True,reconstruction,0.000649718894992,0.00116224579382,0.609344621194,0.88064332212,0.812652241661,0.636655179016,0,128,0,not_applicable,67584,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_384,463341,512,384,True,reconstruction,1.36987481784e-07,2.1599686175e-07,0.00827572196061,0.0105129906511,0.999964964807,0.999944739023,0,1536,0,not_applicable,788480,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pca,pca_64,463341,512,64,True,reconstruction,0.000418723614682,0.000797144336361,0.473994620433,0.692867105054,0.884683667456,0.769417828594,0,256,0,not_applicable,133120,pca_components_and_mean
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pq,pq_512_m128_b8,463341,512,512,True,reconstruction,0.000135764469177,0.000198579739378,0.264899562988,0.323499131421,0.96470259305,0.948128899417,0,128,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pq,pq_512_m16_b8,463341,512,512,True,reconstruction,0.000895470172446,0.0013110894551,0.741820693083,0.955558313915,0.73242769232,0.577152908542,0,16,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pq,pq_512_m32_b8,463341,512,512,True,reconstruction,0.000720205429733,0.00104931840882,0.650126604863,0.821559688074,0.792757684709,0.681080018524,0,32,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pq,pq_512_m64_b8,463341,512,512,True,reconstruction,0.00043186564651,0.000625245271199,0.486861391918,0.60069075191,0.882290012708,0.824945390174,0,64,524288,faiss_centroids,524288,faiss_centroids
survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,pq,pq_512_m8_b8,463341,512,512,True,reconstruction,0.000988696242178,0.00145335350984,0.790016704542,1.03164078956,0.697916957066,0.513411505375,0,8,524288,faiss_centroids,524288,faiss_centroids
