split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir,partition_seed
fit,all,67064,1.0,670,0.009990456877013002,-0.16586348414421082,-0.16601830109953897,[],False,global_safe,0.01,0
safety,all,31761,1.0,307,0.009665942508107428,-0.16586348414421082,-0.16737176775932291,[],False,global_safe,0.01,0
test,all,121736,1.0,1400,0.011500295721889991,-0.16586348414421082,-0.15974194929003735,[],False,global_safe,0.01,0
fit,low,33340,0.49713706310390077,320,0.009598080383923215,-0.16352331638336182,-0.16591583371162408,[0.5466472],False,fiqa_s_2bin,0.01,0
fit,high,33724,0.5028629368960993,336,0.009963230933459851,-0.16615892081746458,-0.1662162657082084,[0.5466472],False,fiqa_s_2bin,0.01,0
safety,low,15435,0.4859733635590819,154,0.009977324263038548,-0.16352331638336182,-0.16410226166248326,[0.5466472],False,fiqa_s_2bin,0.01,0
safety,high,16326,0.5140266364409181,143,0.008759034668626731,-0.16615892081746458,-0.1713884435594082,[0.5466472],False,fiqa_s_2bin,0.01,0
test,low,59311,0.48721002825786947,678,0.01143126907319047,-0.16352331638336182,-0.15729655772447573,[0.5466472],False,fiqa_s_2bin,0.01,0
test,high,62425,0.5127899717421305,678,0.010861033239887866,-0.16615892081746458,-0.16205725669860835,[0.5466472],False,fiqa_s_2bin,0.01,0
fit,low,33776,0.5036383156387928,337,0.009977498815727143,-0.1533282846212387,-0.1535227634012699,[0.5597402],False,fiqa_l_2bin,0.01,0
fit,high,33288,0.4963616843612072,329,0.009883441480413362,-0.17964929342269897,-0.18010478630661972,[0.5597402],False,fiqa_l_2bin,0.01,0
safety,low,15462,0.48682346273731936,137,0.00886043202690467,-0.1533282846212387,-0.15780895262956623,[0.5597402],False,fiqa_l_2bin,0.01,0
safety,high,16299,0.5131765372626806,162,0.009939260077305357,-0.17964929342269897,-0.17996792465448375,[0.5597402],False,fiqa_l_2bin,0.01,0
test,low,58468,0.4802852073339029,680,0.011630293493876993,-0.1533282846212387,-0.14728588670492132,[0.5597402],False,fiqa_l_2bin,0.01,0
test,high,63268,0.5197147926660971,665,0.010510842764114561,-0.17964929342269897,-0.1774160142242906,[0.5597402],False,fiqa_l_2bin,0.01,0
