model_family,dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,query_representation,gallery_representation,distance_function,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,target_fpir,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1_denominator,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_count,compressed_dir_rank1_denominator,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,both_dir_rank1_count,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,tpir_rank,origin_tpir_at_rank_k_count,origin_tpir_at_rank_k_denominator,origin_tpir_at_rank_k,origin_tpir_at_rank_k_wilson95_low,origin_tpir_at_rank_k_wilson95_high,compressed_tpir_at_rank_k_count,compressed_tpir_at_rank_k_denominator,compressed_tpir_at_rank_k,compressed_tpir_at_rank_k_wilson95_low,compressed_tpir_at_rank_k_wilson95_high,both_tpir_at_rank_k_count,compressed_minus_origin_tpir_at_rank_k,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_low,compressed_minus_origin_tpir_at_rank_k_paired_bootstrap95_high,compressed_tpir_at_rank_k_retention,origin_tpir20_count,origin_tpir20_denominator,origin_tpir20,compressed_tpir20_count,compressed_tpir20_denominator,compressed_tpir20,compressed_tpir20_retention,origin_closed_set_rank20_recall,compressed_closed_set_rank20_recall,origin_false_accept_count,origin_fpir_denominator,origin_fpir,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_fpir,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,both_false_accept_count,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,confidence_interval_unit,rate_confidence_interval_method,difference_confidence_interval_method,difference_confidence_interval_resamples,difference_confidence_interval_random_seed,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source,evaluation_protocol,model_comparison_scope,checkpoint_training_identity_overlap_status,strict_unseen_identity_evidence,rfw_protocol_variant
arcface,lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,population-a8d0f8d60f18444a282a481c,origin-embedding-2a24946a994787647ad927a9,lfw-identity-disjoint-open-set-v1,pq,pq_512_m8_b8,pq_reconstruction_cosine,pq_reconstructed_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,6.18939999913,7.53540000005,0.00348216266176,287177.853861,50,2048,102400,524688,10493.76,recalibrated_compressed,0.05,calibration,test,20,2164,476,1688,,0.346786439419,0.242793783545,469,0.985294117647,417,0.876050420168,472,0.991596638655,467,0.981092436975,469,548,466,476,0.978991596639,0.961764485681,0.98854939741,379,476,0.796218487395,0.757728048312,0.8299660636,379,-0.182773109244,-0.218487394958,-0.151207983193,20,466,476,0.978991596639,0.961764485681,0.98854939741,381,476,0.800420168067,0.762172749306,0.8338574493,381,-0.178571428571,-0.21218487395,-0.147058823529,0.817596566524,466,476,0.978991596639,381,476,0.800420168067,0.817596566524,0.991596638655,0.981092436975,3,1688,0.00177725118483,0.00177725118483,0.000604605803334,0.00521240427724,160,1688,0.0947867298578,0.0947867298578,0.0817186902799,0.109694906504,2,0.093009478673,0.0793838862559,0.107227488152,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,539,0.249075785582,0.340147491794,-0.0769514762099,0.121380581006,237,0.109519408503,79,0.0365064695009,158,0.0730129390018,2151,0.993992606285,1907,0.88123844732,0,8,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,population-a8d0f8d60f18444a282a481c,origin-embedding-2a24946a994787647ad927a9,lfw-identity-disjoint-open-set-v1,pq,pq_512_m8_b8,pq_reconstruction_cosine,pq_reconstructed_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,6.18939999913,7.53540000005,0.00348216266176,287177.853861,50,2048,102400,524688,10493.76,recalibrated_compressed,0.1,calibration,test,20,2164,476,1688,,0.346786439419,0.214925825596,469,0.985294117647,417,0.876050420168,472,0.991596638655,467,0.981092436975,469,750,466,476,0.978991596639,0.961764485681,0.98854939741,398,476,0.836134453782,0.800215028932,0.866671906571,398,-0.142857142857,-0.174369747899,-0.113445378151,20,466,476,0.978991596639,0.961764485681,0.98854939741,404,476,0.848739495798,0.813767317318,0.878127878266,404,-0.13025210084,-0.161764705882,-0.100840336134,0.8669527897,466,476,0.978991596639,404,476,0.848739495798,0.8669527897,0.991596638655,0.981092436975,3,1688,0.00177725118483,0.00177725118483,0.000604605803334,0.00521240427724,338,1688,0.200236966825,0.200236966825,0.181836760455,0.219998444183,2,0.19845971564,0.178909952607,0.217417061611,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,539,0.249075785582,0.340147491794,-0.0769514762099,0.121380581006,391,0.180683918669,55,0.025415896488,336,0.155268022181,2151,0.993992606285,1748,0.807763401109,0,8,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,population-a8d0f8d60f18444a282a481c,origin-embedding-2a24946a994787647ad927a9,lfw-identity-disjoint-open-set-v1,pq,pq_512_m8_b8,pq_reconstruction_cosine,pq_reconstructed_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,6.18939999913,7.53540000005,0.00348216266176,287177.853861,50,2048,102400,524688,10493.76,recalibrated_compressed,0.2,calibration,test,20,2164,476,1688,,0.346786439419,0.191244632006,469,0.985294117647,417,0.876050420168,472,0.991596638655,467,0.981092436975,469,1027,466,476,0.978991596639,0.961764485681,0.98854939741,407,476,0.855042016807,0.820571435838,0.883827889787,407,-0.123949579832,-0.153361344538,-0.0945378151261,20,466,476,0.978991596639,0.961764485681,0.98854939741,419,476,0.88025210084,0.847999485418,0.90641636037,419,-0.0987394957983,-0.126102941176,-0.0735294117647,0.899141630901,466,476,0.978991596639,419,476,0.88025210084,0.899141630901,0.991596638655,0.981092436975,3,1688,0.00177725118483,0.00177725118483,0.000604605803334,0.00521240427724,593,1688,0.351303317536,0.351303317536,0.32889112026,0.374390769787,2,0.349526066351,0.326421800948,0.372630331754,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,539,0.249075785582,0.340147491794,-0.0769514762099,0.121380581006,626,0.289279112754,34,0.0157116451017,592,0.273567467652,2151,0.993992606285,1502,0.694085027726,0,8,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,population-a8d0f8d60f18444a282a481c,origin-embedding-2a24946a994787647ad927a9,lfw-identity-disjoint-open-set-v1,pq,pq_512_m8_b8,pq_reconstruction_cosine,pq_reconstructed_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,6.18939999913,7.53540000005,0.00348216266176,287177.853861,50,2048,102400,524688,10493.76,recalibrated_compressed,0.3,calibration,test,20,2164,476,1688,,0.346786439419,0.17881667614,469,0.985294117647,417,0.876050420168,472,0.991596638655,467,0.981092436975,469,1209,466,476,0.978991596639,0.961764485681,0.98854939741,410,476,0.861344537815,0.827395518736,0.88950793693,410,-0.117647058824,-0.147058823529,-0.0903361344538,20,466,476,0.978991596639,0.961764485681,0.98854939741,427,476,0.897058823529,0.86650522705,0.921254965512,427,-0.0819327731092,-0.105042016807,-0.0588235294118,0.916309012876,466,476,0.978991596639,427,476,0.897058823529,0.916309012876,0.991596638655,0.981092436975,3,1688,0.00177725118483,0.00177725118483,0.000604605803334,0.00521240427724,764,1688,0.452606635071,0.452606635071,0.428995978519,0.476432512333,2,0.450829383886,0.427132701422,0.475118483412,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,539,0.249075785582,0.340147491794,-0.0769514762099,0.121380581006,792,0.365988909427,26,0.0120147874307,766,0.353974121996,2151,0.993992606285,1334,0.616451016636,0,8,524288,faiss_centroids,524288,faiss_centroids,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,frozen_origin,0.01,calibration,test,20,182159,60423,121736,0.836437225342,0.836437225342,0.836437225342,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,2777,377,52,60423,0.00086059944061,0.000656386121264,0.00112827540029,2,60423,3.3099978485e-05,9.07725491843e-06,0.000120690554078,0,-0.000827499462125,-0.00107574930076,-0.00059579961273,20,77,60423,0.00127434917167,0.00101984627167,0.00159226210617,2,60423,3.3099978485e-05,9.07725491843e-06,0.000120690554078,0,-0.00124124919319,-0.00153914899955,-0.000943349386823,0.025974025974,77,60423,0.00127434917167,2,60423,3.3099978485e-05,0.025974025974,0.168478890489,0.112622676795,1831,121736,0.0150407439048,0.0150407439048,0.0143721597554,0.0157399334993,284,121736,0.00233291713215,0.00233291713215,0.00207716317328,0.00262007851825,276,-0.0127078267727,-0.0133241194059,-0.0120835250049,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,2426,0.0133180353428,2413,0.0132466691187,13,7.13662240131e-05,119957,0.658529087226,121454,0.666747182407,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,frozen_origin,0.05,calibration,test,20,182159,60423,121736,0.800525426865,0.800525426865,0.800525426865,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,10172,835,250,60423,0.00413749731063,0.00365624877754,0.00468179184575,8,60423,0.00013239991394,6.70918040753e-05,0.000261263250428,4,-0.00400509739669,-0.00455124704169,-0.00349204773017,20,430,60423,0.00711649537428,0.00647688004347,0.00781877794503,8,60423,0.00013239991394,6.70918040753e-05,0.000261263250428,4,-0.00698409546034,-0.00766305876901,-0.0063055459014,0.0186046511628,430,60423,0.00711649537428,8,60423,0.00013239991394,0.0186046511628,0.168478890489,0.112622676795,6515,121736,0.0535174475915,0.0535174475915,0.0522671996473,0.0547958727424,600,121736,0.00492869816652,0.00492869816652,0.00455061844937,0.00533802149294,598,-0.048588749425,-0.0497798514819,-0.0473072879017,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,9353,0.0513452533226,9345,0.0513013356463,8,4.39176763157e-05,115471,0.633902250232,121144,0.665045372449,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,frozen_origin,0.1,calibration,test,20,182159,60423,121736,0.777746081352,0.777746081352,0.777746081352,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,18202,1244,401,60423,0.00663654568625,0.00601977199171,0.0073160476435,26,60423,0.000430299720305,0.00029367822318,0.000630438567845,12,-0.00620624596594,-0.00686865928537,-0.005527696407,20,791,60423,0.0130910414908,0.0122151943623,0.0140287962309,26,60423,0.000430299720305,0.00029367822318,0.000630438567845,12,-0.0126607417705,-0.0136206411466,-0.011716978634,0.0328697850822,791,60423,0.0130910414908,26,60423,0.000430299720305,0.0328697850822,0.168478890489,0.112622676795,11604,121736,0.0953210225406,0.0953210225406,0.0936841628574,0.0969834212356,863,121736,0.00708911086285,0.00708911086285,0.00663312385609,0.00757620513672,859,-0.0882319116777,-0.0898010859565,-0.0866054412828,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,16994,0.0932921239137,16976,0.093193309142,18,9.88147717104e-05,110533,0.606794064526,120899,0.663700393612,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,frozen_origin,0.2,calibration,test,20,182159,60423,121736,0.745633363724,0.745633363724,0.745633363724,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,34314,2180,655,60423,0.0108402429538,0.0100451236593,0.0116975560357,64,60423,0.00105919931152,0.000829632268809,0.00135220374376,42,-0.00978104364232,-0.0105919931152,-0.00893658044122,20,1498,60423,0.0247918838853,0.0235819688462,0.0260622188425,65,60423,0.00107574930076,0.00084417995063,0.00137075393619,43,-0.0237161345845,-0.0250070337454,-0.0224910216308,0.043391188251,1498,60423,0.0247918838853,65,60423,0.00107574930076,0.043391188251,0.168478890489,0.112622676795,21991,121736,0.1806450023,0.1806450023,0.17849392663,0.182816232245,1471,121736,0.0120835250049,0.0120835250049,0.0114849819827,0.0127128601002,1471,-0.168561477295,-0.170730104488,-0.16649861175,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,32178,0.176647873561,32156,0.176527099951,22,0.000120773609868,100400,0.551166837763,120329,0.660571259175,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,frozen_origin,0.3,calibration,test,20,182159,60423,121736,0.719288289547,0.719288289547,0.719288289547,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,51051,3418,869,60423,0.0143819406517,0.013463026413,0.0153625983718,112,60423,0.00185359879516,0.00154085219987,0.00222968177676,80,-0.0125283418566,-0.0134716912434,-0.0116346424375,20,2239,60423,0.037055425914,0.03557844833,0.0385912641789,117,60423,0.00193634874137,0.00161607153615,0.00231995181173,85,-0.0351190771726,-0.0366416761829,-0.0336126144018,0.0522554711925,2239,60423,0.037055425914,117,60423,0.00193634874137,0.0522554711925,0.168478890489,0.112622676795,32920,121736,0.270421239403,0.270421239403,0.267933371674,0.27292359569,2270,121736,0.0186469080634,0.0186469080634,0.0179020603554,0.0194221336337,2269,-0.25177433134,-0.254271949136,-0.249383912729,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,47705,0.26188659358,47669,0.261688964037,36,0.000197629543421,89685,0.492344600047,119578,0.656448487311,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.01,calibration,test,20,182159,60423,121736,,0.836437225342,0.73609316349,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,2777,2570,52,60423,0.00086059944061,0.000656386121264,0.00112827540029,83,60423,0.00137364910713,0.00110834519025,0.00170235043309,10,0.000513049666518,0.000182049881668,0.00086059944061,20,77,60423,0.00127434917167,0.00101984627167,0.00159226210617,84,60423,0.00139019909637,0.00112313313077,0.00172066036682,11,0.000115849924698,-0.000265213577611,0.000513049666518,1.09090909091,77,60423,0.00127434917167,84,60423,0.00139019909637,1.09090909091,0.168478890489,0.112622676795,1831,121736,0.0150407439048,0.0150407439048,0.0143721597554,0.0157399334993,1712,121736,0.0140632187685,0.0140632187685,0.013416922187,0.0147401824859,991,-0.000977525136361,-0.00161825589801,-0.000311945521456,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,2471,0.013565072272,1339,0.00735072107335,1132,0.00621435119868,119957,0.658529087226,120107,0.659352543657,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.05,calibration,test,20,182159,60423,121736,,0.800525426865,0.646895587444,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,10172,10747,250,60423,0.00413749731063,0.00365624877754,0.00468179184575,358,60423,0.00592489614882,0.00534359617218,0.00656901487024,147,0.00178739883819,0.00122469920395,0.00236664846168,20,430,60423,0.00711649537428,0.00647688004347,0.00781877794503,466,60423,0.00771229498701,0.00704538970452,0.00844179175702,228,0.00059579961273,-8.27499462125e-05,0.00127434917167,1.08372093023,430,60423,0.00711649537428,466,60423,0.00771229498701,1.08372093023,0.168478890489,0.112622676795,6515,121736,0.0535174475915,0.0535174475915,0.0522671996473,0.0547958727424,6971,121736,0.0572632581981,0.0572632581981,0.0559719901878,0.0585824670195,4352,0.00374581060656,0.00262843365972,0.0048876256818,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,7609,0.0417711998858,3517,0.0193073084503,4092,0.0224638914355,115471,0.633902250232,115123,0.631991831312,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.1,calibration,test,20,182159,60423,121736,,0.777746081352,0.605662226677,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,18202,19701,401,60423,0.00663654568625,0.00601977199171,0.0073160476435,561,60423,0.00928454396505,0.00855040931846,0.0100810701969,281,0.0026479982788,0.00200254869834,0.00327689787002,20,791,60423,0.0130910414908,0.0122151943623,0.0140287962309,813,60423,0.0134551412542,0.0125669317602,0.0144052120665,472,0.000364099763335,-0.000430299720305,0.0012081492147,1.02781289507,791,60423,0.0130910414908,813,60423,0.0134551412542,1.02781289507,0.168478890489,0.112622676795,11604,121736,0.0953210225406,0.0953210225406,0.0936841628574,0.0969834212356,12813,121736,0.105252349346,0.105252349346,0.103540916684,0.106988694261,7856,0.00993132680555,0.00842786850233,0.0114514194651,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,13367,0.0733809474141,5934,0.0325759364072,7433,0.0408050110069,110533,0.606794064526,109484,0.601035359219,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.2,calibration,test,20,182159,60423,121736,,0.745633363724,0.561037361622,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,34314,37271,655,60423,0.0108402429538,0.0100451236593,0.0116975560357,818,60423,0.0135378912004,0.0126468963849,0.0144907368131,465,0.00269764824653,0.00193634874137,0.00350859771941,20,1498,60423,0.0247918838853,0.0235819688462,0.0260622188425,1343,60423,0.0222266355527,0.0210812069653,0.0234328102145,877,-0.00256524833259,-0.00364099763335,-0.00147294904258,0.89652870494,1498,60423,0.0247918838853,1343,60423,0.0222266355527,0.89652870494,0.168478890489,0.112622676795,21991,121736,0.1806450023,0.1806450023,0.17849392663,0.182816232245,24425,121736,0.200639087862,0.200639087862,0.198398885004,0.202898183182,15168,0.0199940855622,0.0179733193139,0.0220729693764,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,24335,0.133592081643,10689,0.0586795052674,13646,0.0749125763756,100400,0.551166837763,98129,0.538699707398,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_direct_cosine,pca_projected_float32,pca_projected_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,38204.8275,38206.3694,0.209741870564,4767.76524074,3000,2048,6144000,1800192,600.064,recalibrated_compressed,0.3,calibration,test,20,182159,60423,121736,,0.719288289547,0.531973421574,2577,0.0426493222779,1640,0.0271419823577,10180,0.168478890489,6805,0.112622676795,51051,54795,869,60423,0.0143819406517,0.013463026413,0.0153625983718,995,60423,0.0164672392963,0.015482812279,0.0175131446614,592,0.00208529864456,0.00127434917167,0.0029463118349,20,2239,60423,0.037055425914,0.03557844833,0.0385912641789,1746,60423,0.0288962812174,0.0275902621661,0.0302621983369,1215,-0.00815914469656,-0.00940080763948,-0.00685128179667,0.779812416257,2239,60423,0.037055425914,1746,60423,0.0288962812174,0.779812416257,0.168478890489,0.112622676795,32920,121736,0.270421239403,0.270421239403,0.267933371674,0.27292359569,36241,121736,0.297701583755,0.297701583755,0.295139438154,0.30027649627,23170,0.0272803443517,0.0249628294013,0.0297695422882,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,66010,0.3623757267,0.294072335641,-0.145421993404,0.158098949321,34040,0.186869712723,15148,0.0831581201039,18892,0.10371159262,89685,0.492344600047,86490,0.474804978069,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
arcface,survface,arcface-7972a704552df378345f,20260829-R001-81149bc4,population-2a1654a61639901aad6498e4,origin-embedding-94e741db269e174ba87ca27e,qmul-survface-v1-training-derived-3000-watchlist-calibration-v2,pca,pca_128,pca_reconstruction_cosine,pca_reconstructed_float32,pca_reconstructed_float32,cosine_similarity,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,36095.6505,36563.9325,0.200725369046,4981.93130621,3000,2048,6144000,1800192,600.064,frozen_origin,0.01,calibration,test,20,182159,60423,121736,0.836437225342,0.836437225342,0.836437225342,2577,0.0426493222779,2322,0.0384290750211,10180,0.168478890489,9614,0.159111596577,2777,7782,52,60423,0.00086059944061,0.000656386121264,0.00112827540029,159,60423,0.00263144828956,0.00225337674923,0.0030727573172,52,0.00177084884895,0.00145598530361,0.00208529864456,20,77,60423,0.00127434917167,0.00101984627167,0.00159226210617,264,60423,0.00436919716002,0.00387388662566,0.00492752423715,77,0.00309484798835,0.0026479982788,0.0035416976979,3.42857142857,77,60423,0.00127434917167,264,60423,0.00436919716002,3.42857142857,0.168478890489,0.159111596577,1831,121736,0.0150407439048,0.0150407439048,0.0143721597554,0.0157399334993,5016,121736,0.0412039166721,0.0412039166721,0.0401017861562,0.0423350014933,1831,0.0261631727673,0.025267587238,0.0270916162844,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,146471,0.804083245955,0.798302617813,0.0375857588024,0.0375893776822,5005,0.027475996245,0,0,5005,0.027475996245,119957,0.658529087226,116879,0.641631761264,0,512,0,not_applicable,264192,pca_components_and_mean,1:N_open_set,checkpoint_level_generalization,UNKNOWN,False,not_applicable
