dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
rfw_custom,arcface-7972a704552df378345f,20260903-R001-af875d0f,population-c1111593551d9f56fc18476c,origin-embedding-1fd659ffa3b25e8a0eefb0ed,pca,pca_128,40520,512,128,True,reconstruction,0.000585826401756,0.000845998120469,0.576930683477,0.718340951811,0.835526689818,0.752898644915,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260903-R001-af875d0f,population-c1111593551d9f56fc18476c,origin-embedding-1fd659ffa3b25e8a0eefb0ed,pca,pca_256,40520,512,256,True,reconstruction,2.24704953976e-05,4.03747714471e-05,0.105297292702,0.144276745833,0.994227940053,0.989610151795,0,1024,0,not_applicable,526336,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260903-R001-af875d0f,population-c1111593551d9f56fc18476c,origin-embedding-1fd659ffa3b25e8a0eefb0ed,pca,pca_32,40520,512,32,True,reconstruction,0.00145772851787,0.00165869832967,1.04628987611,1.17199448455,0.499332257691,0.38831448668,0,128,0,not_applicable,67584,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260903-R001-af875d0f,population-c1111593551d9f56fc18476c,origin-embedding-1fd659ffa3b25e8a0eefb0ed,pca,pca_384,40520,512,384,True,reconstruction,1.11550112158e-07,1.66153902855e-07,0.00749144877123,0.00922025064178,0.999971477363,0.99995749379,0,1536,0,not_applicable,788480,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260903-R001-af875d0f,population-c1111593551d9f56fc18476c,origin-embedding-1fd659ffa3b25e8a0eefb0ed,pca,pca_64,40520,512,64,True,reconstruction,0.00110388514309,0.00136850136907,0.851719349589,0.991874273294,0.656494636145,0.547121956587,0,256,0,not_applicable,133120,pca_components_and_mean
