analysis_scope,dataset_id,model_uid,compression_family,compression_profile,saliency_feature,sensitivity_metric,sample_count,identity_count,spearman_rho,bootstrap_confidence_level,bootstrap_ci_low,bootstrap_ci_high,bootstrap_valid_repeats,bootstrap_rank_strategy,association_algorithm_version,run_id,source_run_dir
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,angular_error_rad,9122,1674,0.0020219734274,0.95,-0.0641342712695,0.0570355252776,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,reconstruction_mse,9122,1674,0.00201990879354,0.95,-0.0641345658381,0.0570314913514,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_left,cosine_to_origin,9122,1674,-0.0020219734274,0.95,-0.0570355252776,0.0641342712695,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,angular_error_rad,9122,1674,-0.0444048875973,0.95,-0.0993553893053,0.0180412546976,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,reconstruction_mse,9122,1674,-0.0444051967364,0.95,-0.0993557042248,0.0180399561242,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_top_right,cosine_to_origin,9122,1674,0.0444048875973,0.95,-0.0180412546976,0.0993553893053,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,angular_error_rad,9122,1674,0.0167279501994,0.95,-0.0389506309006,0.0700827984455,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,reconstruction_mse,9122,1674,0.0167283549378,0.95,-0.038946894658,0.0700852644275,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_left,cosine_to_origin,9122,1674,-0.0167279501994,0.95,-0.0700827984455,0.0389506309006,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,angular_error_rad,9122,1674,0.0726251729544,0.95,0.0234399473798,0.128733957661,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,reconstruction_mse,9122,1674,0.072626611587,0.95,0.0234413141956,0.128735611189,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,quadrant_bottom_right,cosine_to_origin,9122,1674,-0.0726251729544,0.95,-0.128733957661,-0.0234399473798,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,angular_error_rad,9122,1674,0.0377311475256,0.95,-0.00178180764718,0.0759628834331,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,reconstruction_mse,9122,1674,0.0377307242198,0.95,-0.00178177173824,0.0759611881321,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_eye_attention,cosine_to_origin,9122,1674,-0.0377311475256,0.95,-0.0759628834331,0.00178180764718,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,angular_error_rad,9122,1674,-0.0101908156547,0.95,-0.0576419676813,0.0437687260851,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,reconstruction_mse,9122,1674,-0.010192164845,0.95,-0.0576421160259,0.0437670501546,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_eye_attention,cosine_to_origin,9122,1674,0.0101908156547,0.95,-0.0437687260851,0.0576419676813,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,nose_attention,angular_error_rad,9122,1674,0.048089547073,0.95,0.00224333724044,0.0946451656934,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,nose_attention,reconstruction_mse,9122,1674,0.0480910272345,0.95,0.00224360232857,0.0946450591868,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,nose_attention,cosine_to_origin,9122,1674,-0.048089547073,0.95,-0.0946451656934,-0.00224333724044,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,angular_error_rad,9122,1674,0.0568011370759,0.95,0.00828607192606,0.100938192527,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,reconstruction_mse,9122,1674,0.0568015030766,0.95,0.00828599810912,0.100941798424,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,mouth_attention,cosine_to_origin,9122,1674,-0.0568011370759,0.95,-0.100938192527,-0.00828607192606,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,angular_error_rad,9122,1674,0.0277602523871,0.95,-0.0203206878622,0.0711416157056,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,reconstruction_mse,9122,1674,0.0277608615319,0.95,-0.0203188203761,0.0711401269305,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_cheek_attention,cosine_to_origin,9122,1674,-0.0277602523871,0.95,-0.0711416157056,0.0203206878622,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,angular_error_rad,9121,1674,-0.00672418772311,0.95,-0.0468730095261,0.0414644292407,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,reconstruction_mse,9121,1674,-0.00672577070085,0.95,-0.046873245941,0.0414587278437,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,right_cheek_attention,cosine_to_origin,9121,1674,0.00672418772311,0.95,-0.0414644292407,0.0468730095261,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,angular_error_rad,9122,1674,0.026511423294,0.95,-0.00698909772671,0.058740607698,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,reconstruction_mse,9122,1674,0.0265124502196,0.95,-0.00698873846744,0.0587423929882,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,jaw_attention,cosine_to_origin,9122,1674,-0.026511423294,0.95,-0.058740607698,0.00698909772671,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,angular_error_rad,9122,1674,0.0715332888823,0.95,0.0208091527176,0.123004806812,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,reconstruction_mse,9122,1674,0.071533322888,0.95,0.0208040857274,0.123006810972,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,face_attention,cosine_to_origin,9122,1674,-0.0715332888823,0.95,-0.123004806812,-0.0208091527176,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,angular_error_rad,9122,1674,-0.0715332888823,0.95,-0.123004806812,-0.0208091527176,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,reconstruction_mse,9122,1674,-0.071533322888,0.95,-0.123006810972,-0.0208040857274,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,outside_face_attention,cosine_to_origin,9122,1674,0.0715332888823,0.95,0.0208091527176,0.123004806812,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,angular_error_rad,9122,1674,0.0331713983682,0.95,-0.0365355565495,0.111672041576,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,reconstruction_mse,9122,1674,0.0331710833138,0.95,-0.0365354968431,0.111669283642,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_entropy,cosine_to_origin,9122,1674,-0.0331713983682,0.95,-0.111672041576,0.0365355565495,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,angular_error_rad,9122,1674,-0.0518659608418,0.95,-0.108627070874,0.00298978745705,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,reconstruction_mse,9122,1674,-0.0518652954149,0.95,-0.108625620098,0.00298833342408,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,maximum_region_concentration,cosine_to_origin,9122,1674,0.0518659608418,0.95,-0.00298978745705,0.108627070874,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,angular_error_rad,9122,1674,-0.0447281140104,0.95,-0.110979704391,0.0235058498328,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,reconstruction_mse,9122,1674,-0.044728694169,0.95,-0.110981890704,0.0235070666198,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,left_right_asymmetry,cosine_to_origin,9122,1674,0.0447281140104,0.95,-0.0235058498328,0.110979704391,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,angular_error_rad,9122,1674,0.0478760408802,0.95,0.00234476573148,0.0969037317019,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,reconstruction_mse,9122,1674,0.0478779908395,0.95,0.00234617133856,0.0969047501338,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_x,cosine_to_origin,9122,1674,-0.0478760408802,0.95,-0.0969037317019,-0.00234476573148,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,angular_error_rad,9122,1674,0.044047468222,0.95,-0.0272917033514,0.131133979748,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,reconstruction_mse,9122,1674,0.0440485364208,0.95,-0.0272887916987,0.131137609971,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_center_y,cosine_to_origin,9122,1674,-0.044047468222,0.95,-0.131133979748,0.0272917033514,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,angular_error_rad,9122,1674,-0.00119768794771,0.95,-0.050894286782,0.0480166118154,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,reconstruction_mse,9122,1674,-0.00119730878674,0.95,-0.0508962949383,0.0480223877145,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_128,saliency_spread,cosine_to_origin,9122,1674,0.00119768794771,0.95,-0.0480166118154,0.050894286782,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,angular_error_rad,9122,1674,0.00416293214687,0.95,-0.0506245432809,0.0522958899017,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,reconstruction_mse,9122,1674,0.00416315739805,0.95,-0.0506229886127,0.0522960379945,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_left,cosine_to_origin,9122,1674,-0.00416293214687,0.95,-0.0522958899017,0.0506245432809,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,angular_error_rad,9122,1674,-0.050053657938,0.95,-0.0990637914817,-0.000545868893477,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,reconstruction_mse,9122,1674,-0.0500534355457,0.95,-0.0990618295219,-0.000545215934826,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
geometry,lfw,arcface-7972a704552df378345f,pca,pca_256,quadrant_top_right,cosine_to_origin,9122,1674,0.050053657938,0.95,0.000545868893477,0.0990637914817,500,weighted_rerank,identity-cluster-weighted-rerank-v1,20260810-R001-e9b2f0fd,C:\ronbun\runs\lfw_20260810\20260810-R001-e9b2f0fd_step4_lfw_arcface-7972a704552df378345f
