dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,compression_family,compression_profile,sample_count,origin_dimension,search_dimension,reconstruction_available,metric_vector_source,mean_reconstruction_mse,p95_reconstruction_mse,mean_angular_error_rad,p95_angular_error_rad,mean_cosine_to_origin,p05_cosine_to_origin,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pca,pca_128,13195,512,128,True,reconstruction,0.00082661287819,0.00111368289391,0.703823951822,0.855834652361,0.755630978212,0.655588476742,0,512,0,not_applicable,264192,pca_components_and_mean
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pca,pca_256,13195,512,256,True,reconstruction,0.000257967199488,0.000410031274822,0.365698428631,0.475954303782,0.931270008859,0.888855876938,0,1024,0,not_applicable,526336,pca_components_and_mean
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pca,pca_32,13195,512,32,True,reconstruction,0.00152393640174,0.00175913056282,1.09607740025,1.25011613262,0.447931862027,0.315212152183,0,128,0,not_applicable,67584,pca_components_and_mean
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pca,pca_384,13195,512,384,True,reconstruction,2.41502512965e-07,4.28754032502e-07,0.0108698328714,0.0148147014306,0.999938206062,0.999890264318,0,1536,0,not_applicable,788480,pca_components_and_mean
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pca,pca_64,13195,512,64,True,reconstruction,0.00124334830973,0.00152748169625,0.926269128387,1.08508389735,0.592237879208,0.466838509565,0,256,0,not_applicable,133120,pca_components_and_mean
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pq,pq_512_m128_b8,13195,512,512,True,reconstruction,0.00017633120155,0.000213938924506,0.304071849411,0.336886647702,0.953879889227,0.94378835755,0,128,524288,faiss_centroids,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pq,pq_512_m16_b8,13195,512,512,True,reconstruction,0.00126908641538,0.00156277766753,0.934161198917,1.08817586068,0.583928337838,0.464101927525,0,16,524288,faiss_centroids,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pq,pq_512_m32_b8,13195,512,512,True,reconstruction,0.000979032428264,0.00119461931655,0.782054398112,0.890427282187,0.704458113178,0.629079940212,0,32,524288,faiss_centroids,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pq,pq_512_m64_b8,13195,512,512,True,reconstruction,0.000567750047829,0.000683782355176,0.56719444372,0.631943992302,0.842016854379,0.806880689349,0,64,524288,faiss_centroids,524288,faiss_centroids
lfw,adaface-4df25b75e065b0b9ed43,20260830-R001-2c810919,population-e7d6e8ef630d54f456c856a2,origin-embedding-ba9333d98c24ea69eaec0ec0,pq,pq_512_m8_b8,13195,512,512,True,reconstruction,0.0014442486169,0.00177714601331,1.04303920603,1.23585374294,0.487812006248,0.328714944922,0,8,524288,faiss_centroids,524288,faiss_centroids
