dataset_id,model_uid,compression_family,compression_profile,search_mode,protocol_uid,threshold_source_split,evaluation_split,target_fpir,is_mated,analysis_scope,threshold_metric_derivation_version,saliency_feature,event_metric,analysis_tier,paired_query_count,identity_count,frozen_event_count,recalibrated_event_count,frozen_spearman_rho,recalibrated_spearman_rho,recalibrated_minus_frozen_rho,event_support_eligible,minimum_event_count,paired_bootstrap_confidence_level,paired_bootstrap_ci_low,paired_bootstrap_ci_high,paired_bootstrap_valid_repeats,bootstrap_unit,run_id,source_run_dir
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,threshold_crossing,prespecified_primary,856,264,20,22,-0.00729213904753,0.00415276725378,0.0114449063013,True,5,0.95,0,0.0301502478425,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,false_accept_gain,prespecified_primary,856,264,17,19,0.00652292593672,0.024019802376,0.0174968764393,True,5,0.95,0,0.0432472097638,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,threshold_crossing,prespecified_primary,856,264,20,22,0.0144277943555,0.0303839156611,0.0159561213056,True,5,0.95,0,0.0412310908009,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,threshold_crossing,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,tpir_at_rank_k_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,tpir_rank_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,tpir_threshold_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,threshold_crossing,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,tpir_at_rank_k_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,tpir_rank_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.05,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,tpir_threshold_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,false_accept_gain,prespecified_primary,856,264,17,19,-0.000525222610404,0.0114402933707,0.0119655159811,True,5,0.95,0,0.0319524035378,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,threshold_crossing,prespecified_primary,856,264,20,22,-0.00729213904753,0.00415276725378,0.0114449063013,True,5,0.95,0,0.0324765222899,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,false_accept_gain,prespecified_primary,856,264,17,19,0.00652292593672,0.024019802376,0.0174968764393,True,5,0.95,0,0.0467724735042,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,False,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,threshold_crossing,prespecified_primary,856,264,20,22,0.0144277943555,0.0303839156611,0.0159561213056,True,5,0.95,0,0.0418736739272,500,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,threshold_crossing,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,tpir_at_rank_k_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,tpir_rank_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,outside_face_attention,tpir_threshold_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,threshold_crossing,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
lfw,magface-6931178ad2025e1b3799,pca,pca_128,pca_direct_cosine,lfw-identity-disjoint-open-set-v1,calibration,test,0.1,True,threshold_policy_saliency_rho,saliency-threshold-metrics-v2,saliency_entropy,tpir_at_rank_k_loss,prespecified_primary,476,50,0,0,,,,False,5,0.95,,,0,identity_id,20260831-R001-937290ca,C:\ronbun\runs\lfw_20260831\20260831-R001-937290ca_step4_lfw_magface-6931178ad2025e1b3799
