split,quality_group,non_mated_count,non_mated_fraction,false_accept_count,realized_fpir,threshold,score_q99,quality_cutpoints,threshold_fit_on_test,method,target_fpir
fit,all,73447,1.0,733,0.009979985567824418,-0.393700510263443,-0.393830059170723,[],False,global_safe,0.01
safety,all,25378,1.0,253,0.009969264717471825,-0.393700510263443,-0.39440304160118106,[],False,global_safe,0.01
test,all,121736,1.0,1216,0.009988828284155878,-0.393700510263443,-0.39379475563764604,[],False,global_safe,0.01
fit,low,36600,0.4983185153920514,359,0.009808743169398906,-0.3817059099674225,-0.3822046375274657,[0.54886115],False,fiqa_s,0.01
fit,high,36847,0.5016814846079486,330,0.008955952994816403,-0.4072587192058563,-0.4116813516616821,[0.54886115],False,fiqa_s,0.01
safety,low,12634,0.49783276853968006,126,0.009973088491372488,-0.3817059099674225,-0.38206758975982663,[0.54886115],False,fiqa_s,0.01
safety,high,12744,0.5021672314603199,127,0.009965473948524796,-0.4072587192058563,-0.4075035145878793,[0.54886115],False,fiqa_s,0.01
test,low,59869,0.4917937175527371,569,0.009504083916551137,-0.3817059099674225,-0.38364528059959413,[0.54886115],False,fiqa_s,0.01
test,high,61867,0.508206282447263,582,0.009407276900447735,-0.4072587192058563,-0.409745147228241,[0.54886115],False,fiqa_s,0.01
fit,low,36880,0.5021307881874004,368,0.009978308026030369,-0.3838913142681122,-0.3840694040060045,[0.5589450499999999],False,fiqa_l,0.01
fit,high,36567,0.4978692118125996,312,0.008532283206169496,-0.401015043258667,-0.40685395836830146,[0.5589450499999999],False,fiqa_l,0.01
safety,low,12160,0.4791551737725589,110,0.009046052631578948,-0.3838913142681122,-0.38632040232419973,[0.5589450499999999],False,fiqa_l,0.01
safety,high,13218,0.5208448262274411,132,0.009986382206082615,-0.401015043258667,-0.4019069650769234,[0.5589450499999999],False,fiqa_l,0.01
test,low,58258,0.4785601629756194,563,0.009663908819389612,-0.3838913142681122,-0.3848219895362854,[0.5589450499999999],False,fiqa_l,0.01
test,high,63478,0.5214398370243807,564,0.008884968020416523,-0.401015043258667,-0.40703243523836186,[0.5589450499999999],False,fiqa_l,0.01
