dataset,model_uid,run_id,compression_family,compression_profile,search_mode,target_fpir,comparison_role,threshold_policy,query_representation,gallery_representation,distance_function,score_space,threshold,realized_fpir,fpir_wilson95_low,fpir_wilson95_high,tpir20,tpir20_wilson95_low,tpir20_wilson95_high,tpir20_retention,compressed_minus_origin_tpir20,compressed_minus_origin_tpir20_paired_bootstrap95_low,compressed_minus_origin_tpir20_paired_bootstrap95_high,closed_set_rank20_recall,storage_bytes_per_embedding,codebook_bytes,gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,target_met_on_test
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.01,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.01,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_code,squared_l2_asymmetric,negative_squared_l2_adc,-1.2625079155,0.000592417061611,0.000104583813744,0.00334813853813,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.05,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.05,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_code,squared_l2_asymmetric,negative_squared_l2_adc,-1.2625079155,0.000592417061611,0.000104583813744,0.00334813853813,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.1,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.1,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_code,squared_l2_asymmetric,negative_squared_l2_adc,-1.2625079155,0.000592417061611,0.000104583813744,0.00334813853813,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.2,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.2,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_code,squared_l2_asymmetric,negative_squared_l2_adc,-1.2625079155,0.000592417061611,0.000104583813744,0.00334813853813,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.3,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_adc_exhaustive,0.3,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_code,squared_l2_asymmetric,negative_squared_l2_adc,-1.2625079155,0.000592417061611,0.000104583813744,0.00334813853813,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.01,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.01,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,0.319215893745,0.00296208530806,0.00126586908499,0.00691542872429,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.05,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.05,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,0.319215893745,0.00296208530806,0.00126586908499,0.00691542872429,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.1,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.1,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,0.319215893745,0.00296208530806,0.00126586908499,0.00691542872429,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.2,origin,origin_calibrated,origin_float32,origin_float32,cosine_similarity,cosine_similarity,0.346786439419,0.00177725118483,0.000604605803334,0.00521240427724,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,2048,0,102400,2048,True
lfw,arcface-7972a704552df378345f,20260829-R001-245d09db,pq,pq_512_m128_b8,pq_one_sided_cosine,0.2,compressed_recalibrated,recalibrated_compressed,origin_float32,pq_reconstructed_float32,cosine_similarity,cosine_similarity,0.319215893745,0.00296208530806,0.00126586908499,0.00691542872429,0.978991596639,0.961764485681,0.98854939741,1,0,0,0,0.991596638655,128,524288,530688,10613.76,True
