dataset,model_uid,run_id,extraction_uid,origin_embedding_artifact_uid,protocol_uid,compression_family,compression_profile,search_mode,origin_score_space,compressed_score_space,score_spaces_comparable,frozen_origin_threshold_applicable,latency_measurement_repeats,latency_timer,compressed_index_build_latency_ms,compressed_gallery_add_latency_ms,compressed_gallery_encode_latency_ms,origin_search_latency_ms_total,compressed_search_latency_ms_total,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,gallery_template_count,origin_storage_bytes_per_embedding,origin_gallery_storage_bytes,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,threshold_policy,target_fpir,threshold_source_split,evaluation_split,top_k,query_count,mated_count,non_mated_count,decision_threshold,origin_decision_threshold,compressed_decision_threshold,origin_rank1_correct_count,origin_rank1_rate,compressed_rank1_correct_count,compressed_rank1_rate,origin_top_k_correct_count,origin_top_k_rate,compressed_top_k_correct_count,compressed_top_k_rate,origin_accepted_count,compressed_accepted_count,origin_dir_rank1_count,origin_dir_rank1_denominator,origin_dir_rank1,origin_dir_rank1_wilson95_low,origin_dir_rank1_wilson95_high,compressed_dir_rank1_count,compressed_dir_rank1_denominator,compressed_dir_rank1,compressed_dir_rank1_wilson95_low,compressed_dir_rank1_wilson95_high,both_dir_rank1_count,compressed_minus_origin_dir_rank1,compressed_minus_origin_dir_rank1_paired_bootstrap95_low,compressed_minus_origin_dir_rank1_paired_bootstrap95_high,origin_false_accept_count,origin_fpir_denominator,origin_fpir,origin_realized_fpir,origin_fpir_wilson95_low,origin_fpir_wilson95_high,compressed_false_accept_count,compressed_fpir_denominator,compressed_fpir,compressed_realized_fpir,compressed_fpir_wilson95_low,compressed_fpir_wilson95_high,both_false_accept_count,compressed_minus_origin_fpir,compressed_minus_origin_fpir_paired_bootstrap95_low,compressed_minus_origin_fpir_paired_bootstrap95_high,confidence_interval_unit,rate_confidence_interval_method,difference_confidence_interval_method,difference_confidence_interval_resamples,difference_confidence_interval_random_seed,agreement_with_origin_count,agreement_with_origin_rate,mean_top_k_identity_jaccard,mean_top1_score_drift,mean_abs_top1_score_drift,threshold_crossing_count,threshold_crossing_rate,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate,origin_decision_correct_count,origin_decision_correct_rate,compressed_decision_correct_count,compressed_decision_correct_rate,origin_fallback_count,storage_bytes_per_embedding,codebook_bytes,codebook_bytes_source,codec_parameter_bytes,codec_parameter_bytes_source
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1144.3099,1177.6805,0.0781836619532,12790.3960369,1200,2048,2457600,878592,732.16,frozen_origin,0.01,calibration,test,20,15063,3104,11959,0.305939078331,0.305939078331,0.305939078331,3100,0.998711340206,3096,0.997422680412,3104,1,3103,0.999677835052,4771,9654,3098,3104,0.998067010309,0.995788943771,0.999113801742,3096,3104,0.997422680412,0.994922229478,0.998693449094,3096,-0.000644329896907,-0.00161082474227,0,1671,11959,0.139727401957,0.139727401957,0.133629180128,0.146057002318,6551,11959,0.547788276612,0.547788276612,0.538854081535,0.556691780536,1599,0.408060874655,0.399027928757,0.417509825236,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8429,0.559583084379,0.449726201106,0.046520044065,0.0488591346231,5027,0.33373166036,72,0.00477992431786,4955,0.328951736042,13386,0.888667596096,8504,0.56456217221,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1144.3099,1177.6805,0.0781836619532,12790.3960369,1200,2048,2457600,878592,732.16,frozen_origin,0.1,calibration,test,20,15063,3104,11959,0.235840842128,0.235840842128,0.235840842128,3100,0.998711340206,3096,0.997422680412,3104,1,3103,0.999677835052,11602,15051,3100,3104,0.998711340206,0.996691057637,0.999498754817,3096,3104,0.997422680412,0.994922229478,0.998693449094,3096,-0.00128865979381,-0.00257731958763,-0.000322164948454,8498,11959,0.710594531315,0.710594531315,0.702400280462,0.718653531656,11947,11959,0.99899657162,0.99899657162,0.998246786051,0.999425885703,8497,0.288402040304,0.28053976085,0.296515176854,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8429,0.559583084379,0.449726201106,0.046520044065,0.0488591346231,3451,0.229104428069,1,6.63878377481e-05,3450,0.229038040231,6561,0.435570603465,3108,0.206333399721,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1144.3099,1177.6805,0.0781836619532,12790.3960369,1200,2048,2457600,878592,732.16,recalibrated_compressed,0.01,calibration,test,20,15063,3104,11959,,0.305939078331,0.359355866909,3100,0.998711340206,3096,0.997422680412,3104,1,3103,0.999677835052,4771,4500,3098,3104,0.998067010309,0.995788943771,0.999113801742,3088,3104,0.994845360825,0.991642819326,0.996824591481,3088,-0.00322164948454,-0.00515463917526,-0.00161082474227,1671,11959,0.139727401957,0.139727401957,0.133629180128,0.146057002318,1407,11959,0.11765197759,0.11765197759,0.111999799814,0.123549711439,884,-0.0220754243666,-0.0280123756167,-0.0160548540848,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8429,0.559583084379,0.449726201106,0.046520044065,0.0488591346231,1319,0.0875655579898,795,0.0527783310098,524,0.03478722698,13386,0.888667596096,13640,0.905530106884,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1144.3099,1177.6805,0.0781836619532,12790.3960369,1200,2048,2457600,878592,732.16,recalibrated_compressed,0.1,calibration,test,20,15063,3104,11959,,0.235840842128,0.286759465933,3100,0.998711340206,3096,0.997422680412,3104,1,3103,0.999677835052,11602,12316,3100,3104,0.998711340206,0.996691057637,0.999498754817,3096,3104,0.997422680412,0.994922229478,0.998693449094,3096,-0.00128865979381,-0.00257731958763,-0.000322164948454,8498,11959,0.710594531315,0.710594531315,0.702400280462,0.718653531656,9213,11959,0.770382138975,0.770382138975,0.762758017257,0.777832612675,7395,0.0597876076595,0.0510912283636,0.0685696964629,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8429,0.559583084379,0.449726201106,0.046520044065,0.0488591346231,2922,0.1939852619,1104,0.0732921728739,1818,0.120693089026,6561,0.435570603465,5842,0.387837748125,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1341.1824,1213.0255,0.0805301400784,12417.710922,1200,2048,2457600,878592,732.16,frozen_origin,0.01,calibration,test,20,15063,3104,11959,0.305939078331,0.305939078331,0.305939078331,3100,0.998711340206,3095,0.997100515464,3104,1,3102,0.999355670103,4771,9815,3098,3104,0.998067010309,0.995788943771,0.999113801742,3095,3104,0.997100515464,0.994498343429,0.998473801672,3095,-0.000966494845361,-0.00225515463918,0,1671,11959,0.139727401957,0.139727401957,0.133629180128,0.146057002318,6712,11959,0.561250940714,0.561250940714,0.55233887964,0.570123664484,1606,0.421523538757,0.412409064303,0.43105610837,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8441,0.560379738432,0.451617324784,0.0477406816221,0.0499475107516,5174,0.343490672509,65,0.00431520945363,5109,0.339175463055,13386,0.888667596096,8342,0.553807342495,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1341.1824,1213.0255,0.0805301400784,12417.710922,1200,2048,2457600,878592,732.16,frozen_origin,0.1,calibration,test,20,15063,3104,11959,0.235840842128,0.235840842128,0.235840842128,3100,0.998711340206,3095,0.997100515464,3104,1,3102,0.999355670103,11602,15050,3100,3104,0.998711340206,0.996691057637,0.999498754817,3095,3104,0.997100515464,0.994498343429,0.998473801672,3095,-0.00161082474227,-0.00322164948454,-0.000322164948454,8498,11959,0.710594531315,0.710594531315,0.702400280462,0.718653531656,11946,11959,0.998912952588,0.998912952588,0.998140897587,0.999364589808,8497,0.288318421273,0.280456141818,0.296431557823,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8441,0.560379738432,0.451617324784,0.0477406816221,0.0499475107516,3450,0.229038040231,1,6.63878377481e-05,3449,0.228971652393,6561,0.435570603465,3108,0.206333399721,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1341.1824,1213.0255,0.0805301400784,12417.710922,1200,2048,2457600,878592,732.16,recalibrated_compressed,0.01,calibration,test,20,15063,3104,11959,,0.305939078331,0.360301971436,3100,0.998711340206,3095,0.997100515464,3104,1,3102,0.999355670103,4771,4557,3098,3104,0.998067010309,0.995788943771,0.999113801742,3087,3104,0.994523195876,0.991246196132,0.996577681205,3087,-0.00354381443299,-0.00579896907216,-0.00161082474227,1671,11959,0.139727401957,0.139727401957,0.133629180128,0.146057002318,1465,11959,0.122501881428,0.122501881428,0.116746614627,0.12849958954,909,-0.0172255205285,-0.023580566937,-0.0111192407392,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8441,0.560379738432,0.451617324784,0.0477406816221,0.0499475107516,1328,0.0881630485295,771,0.0511850229038,557,0.0369780256257,13386,0.888667596096,13581,0.901613224457,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_128,pca_reconstruction_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1341.1824,1213.0255,0.0805301400784,12417.710922,1200,2048,2457600,878592,732.16,recalibrated_compressed,0.1,calibration,test,20,15063,3104,11959,,0.235840842128,0.288832187653,3100,0.998711340206,3095,0.997100515464,3104,1,3102,0.999355670103,11602,12217,3100,3104,0.998711340206,0.996691057637,0.999498754817,3095,3104,0.997100515464,0.994498343429,0.998473801672,3095,-0.00161082474227,-0.00322164948454,-0.000322164948454,8498,11959,0.710594531315,0.710594531315,0.702400280462,0.718653531656,9114,11959,0.762103854837,0.762103854837,0.754389099115,0.769650279119,7385,0.051509323522,0.0428965632578,0.0603750313571,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,8441,0.560379738432,0.451617324784,0.0477406816221,0.0499475107516,2843,0.188740622718,1114,0.0739560512514,1729,0.114784571467,6561,0.435570603465,5940,0.394343756224,0,512,0,not_applicable,264192,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_256,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1232.388,1210.8515,0.0803858129191,12440.0060618,1200,2048,2457600,1755136,1462.61333333,frozen_origin,0.01,calibration,test,20,15063,3104,11959,0.305939078331,0.305939078331,0.305939078331,3100,0.998711340206,3100,0.998711340206,3104,1,3104,1,4771,4762,3098,3104,0.998067010309,0.995788943771,0.999113801742,3098,3104,0.998067010309,0.995788943771,0.999113801742,3098,0,0,0,1671,11959,0.139727401957,0.139727401957,0.133629180128,0.146057002318,1661,11959,0.13889121164,0.13889121164,0.132808858982,0.145205479858,1573,-0.000836190316916,-0.00309390417259,0.00133790450707,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,14190,0.942043417646,0.901393276165,0.000664178638402,0.00344421249742,187,0.0124145256589,98,0.00650600809932,89,0.00590851755958,13386,0.888667596096,13396,0.889331474474,0,1024,0,not_applicable,526336,pca_components_and_mean
rfw_custom,arcface-7972a704552df378345f,20260810-R001-cd97c59b,population-b581bedd868b5eeb48e4480b,origin-embedding-e55371a088723b1ed0362f4e,rfw-custom-identity-balanced-open-set-v1-60b0908dc11e16d8,pca,pca_256,pca_direct_cosine,cosine_similarity,cosine_similarity,True,True,1,time.perf_counter,,,,1232.388,1210.8515,0.0803858129191,12440.0060618,1200,2048,2457600,1755136,1462.61333333,frozen_origin,0.1,calibration,test,20,15063,3104,11959,0.235840842128,0.235840842128,0.235840842128,3100,0.998711340206,3100,0.998711340206,3104,1,3104,1,11602,11717,3100,3104,0.998711340206,0.996691057637,0.999498754817,3100,3104,0.998711340206,0.996691057637,0.999498754817,3100,0,0,0,8498,11959,0.710594531315,0.710594531315,0.702400280462,0.718653531656,8613,11959,0.72021071996,0.72021071996,0.712095618538,0.728184395047,8319,0.00961618864454,0.0059369512501,0.0131302784514,probe,wilson_score,paired_nonparametric_bootstrap_percentile,2000,42,14190,0.942043417646,0.901393276165,0.000664178638402,0.00344421249742,473,0.0314014472549,179,0.0118834229569,294,0.0195180242979,6561,0.435570603465,6446,0.427936002124,0,1024,0,not_applicable,526336,pca_components_and_mean
