method,target_fpir,model_uid,name,fit_non_mated_count,safety_non_mated_count,raw_threshold,shrinkage_weight,threshold_before_safety,safety_threshold,final_threshold,used_global_fallback,fit_fpir_at_final_threshold,safety_fpir_at_final_threshold,fit_target_met,safety_target_met
global_safe,0.2,conditional-threshold-1f5a2b5876c9c7b7196bd4cb,all,73447,25378,-0.40511876344680786,1.0,-0.40511876344680786,-0.41808441281318665,-0.40511876344680786,False,0.19999455389600665,0.18468752462763022,True,True
fiqa_s,0.2,conditional-threshold-f76a81abc7f73ca737be7582,low,36600,12634,-0.3785528838634491,0.9945652173913043,-0.3785528838634491,-0.391539990901947,-0.3785528838634491,False,0.2,0.1823650466993826,True,True
fiqa_s,0.2,conditional-threshold-f76a81abc7f73ca737be7582,high,36847,12744,-0.4424985647201538,0.9946014522093557,-0.44229676807657486,-0.4512048363685608,-0.44229676807657486,False,0.1997177517844058,0.18973634651600754,True,True
fiqa_l,0.2,conditional-threshold-07ac8f430c681f6d6741a307,low,36880,12160,-0.36823204159736633,0.9946062567421791,-0.36823204159736633,-0.37495288252830505,-0.36823204159736633,False,0.2,0.19029605263157895,True,True
fiqa_l,0.2,conditional-threshold-07ac8f430c681f6d6741a307,high,36567,13218,-0.46959319710731506,0.9945603394348193,-0.4692424780730697,-0.4802497923374176,-0.4692424780730697,False,0.19946946700577023,0.18913602663035256,True,True
global_empirical,0.3,conditional-threshold-5b47cf4b43738ac1160a6ec4,all,98825,0,-0.4788987934589386,1.0,-0.4788987934589386,,-0.4788987934589386,False,0.2999949405514799,,True,
global_safe,0.3,conditional-threshold-d22191b44397f151ec24bed1,all,73447,25378,-0.47558802366256714,1.0,-0.47558802366256714,-0.48918893933296204,-0.47558802366256714,False,0.29999863847400166,0.2793364331310584,True,True
fiqa_s,0.3,conditional-threshold-65a6bdff611cf9aceebb9d2e,low,36600,12634,-0.4406627118587494,0.9945652173913043,-0.4406627118587494,-0.4564169943332672,-0.4406627118587494,False,0.3,0.273864176032927,True,True
fiqa_s,0.3,conditional-threshold-65a6bdff611cf9aceebb9d2e,high,36847,12744,-0.5213403701782227,0.9946014522093557,-0.5210933739490238,-0.532999575138092,-0.5210933739490238,False,0.29953591879935954,0.28397677338355304,True,True
fiqa_l,0.3,conditional-threshold-427d9602c70124f780e9c60e,low,36880,12160,-0.42616620659828186,0.9946062567421791,-0.42616620659828186,-0.4354734718799591,-0.42616620659828186,False,0.3,0.2825657894736842,True,True
fiqa_l,0.3,conditional-threshold-427d9602c70124f780e9c60e,high,36567,13218,-0.5524311065673828,0.9945603394348193,-0.5520131062795985,-0.5614029169082642,-0.5520131062795985,False,0.2996964476167036,0.28725979724617945,True,True
