dataset,model_uid,run_id,summary_artifact_type,summary_claim_status,derived_evaluation_paper_eligible,compression_family,compression_profile,search_mode,threshold_policy,compressed_score_space,compressed_dir_rank1,compressed_fpir,storage_bytes_per_embedding,codebook_bytes,gallery_template_count,compressed_gallery_storage_bytes,amortized_storage_bytes_per_gallery_template,compressed_search_latency_ms_per_query,compressed_search_queries_per_second,accept_to_reject_count,accept_to_reject_rate,reject_to_accept_count,reject_to_accept_rate
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_32,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00296244807441,0.0977853716238,128,0,3000,384000,128,0.195342683041,5119.20889196,4918,0.0269983915151,5601,0.0307478631306
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_64,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00481604686957,0.0977525136361,256,0,3000,768000,256,0.195383781202,5118.13208777,2377,0.0130490395753,3082,0.0169192848006
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_128,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00600764609503,0.0947624367484,512,0,3000,1536000,512,0.197144558874,5072.41998313,1074,0.00589594804539,1342,0.00736719020197
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_256,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00648759578306,0.0924870210948,1024,0,3000,3072000,1024,0.190556712542,5247.78154838,115,0.000631316597039,86,0.000472115020394
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pca,pca_384,pca_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00652069576155,0.0927088125123,1536,0,3000,4608000,1536,0.196178946964,5097.38692901,0,0,4,2.19588381579e-05
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00109229929001,0.0888972859302,8,524288,3000,548288,182.762666667,0.00712027075252,140444.097529,3910,0.0214647642993,2924,0.0160519106934
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00188669877365,0.0925198790826,16,524288,3000,572288,190.762666667,0.0133507979294,74901.8901559,3259,0.0178909633891,2905,0.0159476062122
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00362444764411,0.0923802326346,32,524288,3000,620288,206.762666667,0.026635004584,37544.5777321,2618,0.0143720595743,2383,0.0130819778326
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00494844678351,0.0929306039298,64,524288,3000,716288,238.762666667,0.0433032482612,23092.9558441,1745,0.00957954314637,1697,0.00931603708848
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_adc_exhaustive,recalibrated_compressed,negative_squared_l2_adc,0.00623934594443,0.0923802326346,128,524288,3000,908288,302.762666667,0.094098016019,10627.2166227,973,0.0053414873819,912,0.0050066151
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00562699634245,0.686953735953,8,524288,3000,548288,182.762666667,0.209225014411,4779.5432244,13,7.13662240131e-05,108620,0.596292250177
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00516359664366,0.357470263521,16,524288,3000,572288,190.762666667,0.201469574383,4963.5286274,156,0.000856394688157,48997,0.268979298305
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00309484798835,0.110361766445,32,524288,3000,620288,206.762666667,0.206798871316,4835.61633406,3322,0.0182368150901,6280,0.0344753759079
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00112539926849,0.0327183413288,64,524288,3000,716288,238.762666667,0.19902563859,5024.47828874,11650,0.0639551161348,40,0.000219588381579
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_reconstruction_cosine,frozen_origin,cosine_similarity,0.00377339754729,0.0565650259578,128,524288,3000,908288,302.762666667,0.1985331024,5036.94340094,6997,0.0384114976477,16,8.78353526315e-05
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m8_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.000877149429853,0.0981468094894,8,524288,3000,548288,182.762666667,0.209225014411,4779.5432244,7646,0.0419743191388,8029,0.0440768778924
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m16_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00165499892425,0.0983686009069,16,524288,3000,572288,190.762666667,0.201469574383,4963.5286274,5870,0.0322245949967,6420,0.0352439352434
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m32_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00259834831107,0.0939492015509,32,524288,3000,620288,206.762666667,0.206798871316,4835.61633406,4528,0.0248574047947,4429,0.0243139235503
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m64_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00398854740744,0.0929141749359,64,524288,3000,716288,238.762666667,0.19902563859,5024.47828874,3093,0.0169796716056,2963,0.0162660093654
survface,arcface-7972a704552df378345f,20260803-R001-33efcd08,step4_search_space_refresh,validation_required,True,pq,pq_512_m128_b8,pq_reconstruction_cosine,recalibrated_compressed,cosine_similarity,0.00585869619185,0.091731287376,128,524288,3000,908288,302.762666667,0.1985331024,5036.94340094,1657,0.0090964487069,1404,0.00770755219341
